route_station_id,station_seq,is_start,is_end,route_id,station_id
440,10,0,0,100100002,101000033
441,11,0,0,100100002,101000039
442,12,0,0,100100002,100000022
443,13,0,0,100100002,100000104
444,14,0,0,100100002,100000413
445,15,0,0,100100002,100000004
446,16,0,0,100100002,101000001
447,17,0,0,100100002,101000051
448,18,0,0,100100002,101000032
449,19,0,0,100100002,101000033
450,20,0,0,100100002,101000039
451,21,0,0,100100002,100000022
452,22,0,0,100100002,100000104
453,23,0,0,100100002,100000413
454,24,0,0,100100002,100000004
455,25,0,0,100100002,101000001
456,26,0,0,100100002,101000051
457,27,0,1,100100002,101000032
458,1,1,0,100100003,102000226
459,2,0,0,100100003,102000073
460,3,0,0,100100003,101000111
461,4,0,0,100100003,101000265
462,5,0,0,100100003,101000029
463,6,0,0,100100003,101000031
464,7,0,0,100100003,101000050
465,8,0,0,100100003,101000053
466,9,0,0,100100003,101000054
467,10,0,0,100100003,101000103
468,11,0,0,100100003,101000101
469,12,0,0,100100003,101000166
470,13,0,0,100100003,101000078
471,14,0,0,100100003,101000085
472,15,0,0,100100003,101000088
473,16,0,0,100100003,101000089
474,17,0,0,100100003,101000117
475,18,0,0,100100003,101000106
476,19,0,1,100100003,101000149
477,1,1,0,100100006,108000014
478,2,0,0,100100006,108000015
479,3,0,0,100100006,109000115
480,4,0,0,100100006,109000117
481,5,0,0,100100006,109000119
482,6,0,0,100100006,109000121
483,7,0,0,100100006,109900046
484,8,0,0,100100006,109000125
485,9,0,0,100100006,109000127
486,10,0,0,100100006,109000129
487,11,0,0,100100006,109000131
488,12,0,0,100100006,109000013
489,13,0,0,100100006,109000015
490,14,0,0,100100006,109000017
491,15,0,0,100100006,108000001
492,16,0,0,100100006,108000378
493,17,0,0,100100006,108000003
494,18,0,0,100100006,108000005
495,19,0,0,100100006,108000007
496,20,0,0,100100006,108000009
497,21,0,0,100100006,108000011
498,22,0,0,100100006,107000058
499,23,0,0,100100006,107000060
500,24,0,0,100100006,107000062
501,25,0,0,100100006,107000064
502,26,0,0,100100006,107000066
503,27,0,0,100100006,107000067
504,28,0,0,100100006,107000068
505,29,0,0,100100006,107000069
506,30,0,0,100100006,100000147
507,31,0,0,100100006,100000367
508,32,0,0,100100006,100000365
509,33,0,0,100100006,100000397
510,34,0,0,100100006,100000395
511,35,0,0,100100006,100000393
512,36,0,0,100100006,100000391
513,37,0,0,100100006,100000389
514,38,0,0,100100006,100000387
515,39,0,0,100100006,100000385
516,40,0,0,100100006,100000028
517,41,0,0,100100006,100000376
518,42,0,0,100100006,112000169
519,43,0,0,100100006,101000036
520,44,0,0,100100006,101000039
521,45,0,0,100100006,100000386
522,46,0,0,100100006,100000388
523,47,0,0,100100006,100000390
524,48,0,0,100100006,100000392
525,49,0,0,100100006,100000394
526,50,0,0,100100006,100000396
527,51,0,0,100100006,100000398
528,52,0,0,100100006,100000366
529,53,0,0,100100006,105000552
530,54,0,0,100100006,105000092
531,55,0,0,100100006,105000091
532,56,0,0,100100006,105000090
533,57,0,0,100100006,105000089
534,58,0,0,100100006,107000065
535,59,0,0,100100006,107000063
536,60,0,0,100100006,107000061
537,61,0,0,100100006,107000059
538,62,0,0,100100006,108000012
539,63,0,0,100100006,108000010
